months_as_customer,age,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
216,38,100/300,1000,1384.64,5000000,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,3,66600,16650,11100,38850,Y
86,28,100/300,2000,1595.07,0,MALE,Doctorate,partner,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,2,70920,11820,11820,47280,N
429,56,250/500,1000,1127.89,6000000,MALE,Undergraduate,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,1,0,39480,6580,6580,26320,N
257,43,500/1000,2000,929.7,6000000,FEMALE,Doctorate,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,12,1,2,63240,10540,5270,47430,N
15,34,100/300,1000,1829.63,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,0,67650,12300,6150,49200,N
230,39,100/300,1000,904.7,7000000,FEMALE,Graduate,partner,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,3,74200,14840,14840,44520,Y
250,43,500/1000,1000,1243.84,0,FEMALE,Graduate,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,22,1,3,64900,12980,12980,38940,N
270,44,500/1000,2000,1030.95,0,FEMALE,Undergraduate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,0,35900,7180,3590,25130,Y
65,26,100/300,500,1285.03,3000000,FEMALE,High School,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,3,52200,5220,10440,36540,N
475,57,100/300,500,1216.56,0,MALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,2,78000,6500,13000,58500,N
77,27,500/1000,2000,966.26,0,FEMALE,High School,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,0,67200,6720,6720,53760,N
256,43,100/300,500,1203.17,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,0,63250,11500,5750,46000,N
229,37,250/500,2000,1212.12,0,FEMALE,Graduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,1,68760,11460,5730,51570,N
110,28,250/500,1000,1573.93,0,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,2,65040,10840,10840,43360,N
177,33,100/300,1000,1609.67,0,MALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,22,1,3,82800,20700,13800,48300,Y
292,44,500/1000,500,1097.57,0,MALE,Doctorate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,0,61700,6170,6170,49360,N
451,61,250/500,2000,1618.65,2000000,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,1,78100,15620,7810,54670,Y
61,24,100/300,500,922.67,0,FEMALE,Undergraduate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,1,65520,9360,9360,46800,Y
150,30,100/300,1000,1342.02,0,MALE,Graduate,own-child,Parked Car,No Collision,Trivial Damage,None,8,1,2,4500,450,450,3600,N
283,41,100/300,500,1195.01,0,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,13,3,2,42700,0,6100,36600,Y
291,46,500/1000,1000,994.74,0,FEMALE,High School,own-child,Parked Car,No Collision,Minor Damage,Police,8,1,2,5580,620,620,4340,Y
162,31,100/300,1000,1050.24,0,FEMALE,Graduate,partner,Parked Car,No Collision,Minor Damage,None,7,1,0,3600,360,720,2520,Y
154,36,250/500,2000,1313.51,7000000,FEMALE,Graduate,own-child,Vehicle Theft,No Collision,Trivial Damage,None,9,1,0,2800,280,280,2240,N
289,47,500/1000,2000,1102.29,0,FEMALE,Undergraduate,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,0,54000,6000,6000,42000,N
10,19,250/500,1000,1185.78,0,FEMALE,Graduate,partner,Single Vehicle Collision,Side Collision,Minor Damage,Police,5,1,2,48950,4450,8900,35600,Y
309,47,500/1000,500,1527.95,0,MALE,Doctorate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,4,1,77800,15560,15560,46680,N
396,57,100/300,1000,1366.39,0,MALE,High School,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,3,1,52560,11680,5840,35040,N
273,41,500/1000,1000,1403.9,0,FEMALE,Doctorate,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,2,2,44110,4010,8020,32080,N
129,30,500/1000,2000,927.23,0,FEMALE,Doctorate,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,7,1,3,74360,13520,6760,54080,N
140,31,250/500,2000,1554.86,6000000,FEMALE,Graduate,partner,Parked Car,No Collision,Minor Damage,None,2,1,2,6120,680,680,4760,Y
419,53,500/1000,2000,736.07,6000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,4,0,62280,5190,10380,46710,N
315,44,250/500,1000,974.16,6000000,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,12,3,0,26730,4860,4860,17010,N
72,29,500/1000,500,973.8,0,FEMALE,Undergraduate,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,0,66200,6620,6620,52960,N
32,26,100/300,2000,1260.32,6000000,MALE,Graduate,not-in-family,Single Vehicle Collision,Side Collision,Total Loss,Fire,16,1,2,45500,9100,4550,31850,N
230,41,100/300,1000,1464.03,0,MALE,Graduate,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,0,53040,4420,4420,44200,N
157,32,100/300,2000,617.11,0,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,14,3,2,50800,10160,5080,35560,Y
265,41,250/500,2000,1724.46,6000000,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,3,3,44200,4420,4420,35360,N
47,34,500/1000,500,1161.31,0,FEMALE,Doctorate,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Police,23,1,3,62920,11440,5720,45760,N
113,29,250/500,2000,1091.73,0,MALE,Doctorate,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,15,3,2,49950,5550,5550,38850,Y
289,46,250/500,2000,1209.07,0,MALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,1,56430,6270,6270,43890,Y
254,41,250/500,2000,1241.04,0,FEMALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,2,100210,18220,18220,63770,N
115,30,500/1000,500,1757.21,0,MALE,High School,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,12,3,0,49140,5460,5460,38220,N
236,38,250/500,1000,802.24,0,FEMALE,Undergraduate,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,1,66840,16710,5570,44560,N
7,21,500/1000,1000,1342.72,0,MALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,2,62460,6940,6940,48580,N
208,36,100/300,2000,1209.41,5000000,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,1,62810,11420,11420,39970,N
126,33,500/1000,1000,1141.71,2000000,FEMALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,2,54160,6770,6770,40620,N
48,35,100/300,500,1090.03,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,2,48400,9680,4840,33880,N
297,48,250/500,1000,1464.73,3000000,MALE,Doctorate,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,0,51480,5720,5720,40040,N
160,36,100/300,1000,1118.58,0,FEMALE,High School,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,5,3,1,51700,5170,10340,36190,N
406,58,250/500,2000,1117.04,0,MALE,Graduate,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Police,15,3,2,65520,10920,5460,49140,N
157,31,500/1000,500,1257.83,7000000,MALE,High School,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,2,4,2,47700,4770,9540,33390,Y
146,31,250/500,2000,1082.72,0,FEMALE,Doctorate,not-in-family,Vehicle Theft,No Collision,Minor Damage,None,3,1,0,5220,580,580,4060,N
409,57,100/300,1000,1191.8,6000000,MALE,High School,partner,Single Vehicle Collision,Side Collision,Major Damage,Police,19,1,0,73320,6110,12220,54990,N
252,46,100/300,1000,1242.02,0,MALE,Graduate,partner,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,1,2,74900,14980,7490,52430,N
6,27,250/500,500,1075.71,0,FEMALE,High School,partner,Vehicle Theft,No Collision,Trivial Damage,Police,7,1,1,3190,580,290,2320,N
103,33,100/300,1000,969.88,6000000,MALE,Graduate,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,21,1,0,76920,12820,6410,57690,N
369,53,250/500,2000,1459.93,0,FEMALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,2,3,77990,7090,14180,56720,N
261,46,500/1000,1000,1245.61,0,MALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,0,59670,9180,9180,41310,N
159,33,100/300,2000,1462.76,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,23,3,0,44880,8160,4080,32640,Y
344,51,100/300,2000,1398.46,0,MALE,Undergraduate,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,2,82830,7530,15060,60240,N
437,60,500/1000,1000,1269.64,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Minor Damage,Police,10,1,3,84480,7680,15360,61440,Y
65,30,100/300,500,1455.65,4000000,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Fire,6,3,3,79800,15960,7980,55860,N
280,41,500/1000,2000,1140.31,0,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,3,53020,9640,9640,33740,N
269,45,500/1000,500,1330.46,0,FEMALE,High School,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,3,0,24200,2200,4400,17600,N
275,40,250/500,2000,1190.6,0,MALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,1,3,43230,7860,7860,27510,N
265,45,250/500,500,972.5,0,FEMALE,Undergraduate,partner,Vehicle Theft,No Collision,Trivial Damage,None,3,1,3,3190,290,580,2320,N
283,43,100/300,2000,1161.91,0,FEMALE,Undergraduate,not-in-family,Parked Car,No Collision,Minor Damage,None,9,1,3,5850,1300,650,3900,N
84,29,250/500,1000,1117.17,0,FEMALE,High School,not-in-family,Parked Car,No Collision,Trivial Damage,Police,6,1,0,6820,620,1240,4960,N
247,44,250/500,2000,1101.51,0,FEMALE,Undergraduate,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,2,69480,11580,11580,46320,N
56,29,100/300,1000,1523.17,0,MALE,Graduate,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,2,94560,7880,15760,70920,N
210,39,500/1000,1000,984.45,0,MALE,Undergraduate,partner,Vehicle Theft,No Collision,Minor Damage,None,4,1,2,7800,780,780,6240,N
108,32,500/1000,2000,1257,4000000,FEMALE,High School,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,23,1,3,61270,5570,11140,44560,N
328,49,500/1000,500,1434.51,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,2,71440,8930,8930,53580,N
186,37,250/500,2000,1628,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,2,55600,11120,5560,38920,N
277,44,500/1000,500,1412.31,0,MALE,High School,partner,Vehicle Theft,No Collision,Trivial Damage,Police,6,1,3,5000,1000,500,3500,N
138,33,250/500,500,1362.87,5000000,FEMALE,Graduate,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,6,1,0,95810,14740,14740,66330,N
208,41,100/300,1000,1134.68,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,2,69300,6930,13860,48510,N
147,37,250/500,1000,1306.78,0,MALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,0,81120,13520,20280,47320,N
8,21,500/1000,500,1021.9,0,MALE,High School,partner,Single Vehicle Collision,Front Collision,Major Damage,Police,21,1,0,91260,14040,14040,63180,N
297,48,100/300,1000,1538.6,0,FEMALE,Graduate,partner,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,0,60600,6060,12120,42420,N
150,31,500/1000,1000,1354.5,0,MALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6,3,3,64800,6480,12960,45360,Y
4,34,500/1000,500,1282.93,0,FEMALE,Undergraduate,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,0,4,0,66880,6080,12160,48640,Y
210,35,500/1000,1000,1346.27,0,MALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,2,58200,5820,5820,46560,N
91,31,100/300,1000,1338.4,4000000,FEMALE,High School,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,0,60570,6730,6730,47110,N
167,36,100/300,1000,949.44,0,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,3,0,69680,8710,8710,52260,Y
467,58,500/1000,2000,977.4,0,MALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,1,3,55700,5570,11140,38990,N
264,47,250/500,2000,1181.46,10000000,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,2,62370,5670,5670,51030,N
270,45,500/1000,500,1187.53,0,FEMALE,Doctorate,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,0,54340,9880,0,44460,N
310,48,100/300,1000,845.16,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,21,1,0,55170,6130,6130,42910,Y
143,34,100/300,500,1442.27,0,MALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Minor Damage,Police,10,1,3,58500,11700,5850,40950,N
146,32,100/300,2000,1276.43,0,MALE,Undergraduate,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Fire,12,1,3,59940,6660,6660,46620,N
102,28,250/500,500,1075.41,0,MALE,Graduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,6,1,0,73400,7340,7340,58720,N
61,23,100/300,500,1111.72,0,MALE,Graduate,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,1,2,41850,4650,4650,32550,N
255,44,500/1000,2000,814.96,6000000,FEMALE,Doctorate,not-in-family,Parked Car,No Collision,Trivial Damage,Police,7,1,2,6400,640,1280,4480,Y
211,40,500/1000,1000,1575.86,0,FEMALE,Doctorate,own-child,Vehicle Theft,No Collision,Trivial Damage,Police,3,1,1,3190,580,290,2320,N
61,29,250/500,1000,1115.27,0,MALE,Graduate,partner,Parked Car,No Collision,Trivial Damage,None,10,1,1,5900,590,590,4720,N
108,31,500/1000,2000,1175.7,0,MALE,Graduate,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,2,57330,6370,6370,44590,N
303,50,100/300,500,793.15,0,MALE,Graduate,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Police,17,3,3,81960,13660,13660,54640,N
152,33,250/500,500,942.51,0,FEMALE,Doctorate,partner,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,1,0,70400,6400,19200,44800,Y
120,34,500/1000,1000,1056.71,0,FEMALE,Graduate,not-in-family,Parked Car,No Collision,Minor Damage,None,3,1,1,3770,580,580,2610,N
144,36,500/1000,2000,1255.68,6000000,FEMALE,Undergraduate,other-relative,Parked Car,No Collision,Minor Damage,None,7,1,0,7400,740,1480,5180,N
414,52,500/1000,500,1335.13,0,FEMALE,High School,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,1,54810,6090,6090,42630,Y
163,37,250/500,500,1178.95,6000000,FEMALE,Graduate,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,3,49400,4940,9880,34580,N
352,53,250/500,500,1793.16,0,MALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,2,68750,12500,6250,50000,N
27,32,100/300,500,1008.38,0,FEMALE,Doctorate,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,0,61500,12300,6150,43050,N
239,39,100/300,500,1396.83,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,3,76890,6990,13980,55920,N
33,32,100/300,500,1402.78,5000000,FEMALE,Doctorate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,1,56070,6230,12460,37380,N
88,30,100/300,1000,1437.88,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Fire,3,1,0,56000,14000,0,42000,N
101,33,500/1000,1000,1313.64,0,FEMALE,Undergraduate,partner,Parked Car,No Collision,Trivial Damage,None,3,1,0,4290,780,390,3120,N
20,37,250/500,500,1482.14,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,3,1,60750,6750,6750,47250,N
126,30,250/500,2000,1171.75,0,FEMALE,Undergraduate,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Police,23,1,3,48730,4430,4430,39870,N
264,43,500/1000,2000,1353.33,0,MALE,Undergraduate,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Police,9,3,0,95150,17300,17300,60550,N
78,24,100/300,500,1175.51,0,MALE,Graduate,partner,Vehicle Theft,No Collision,Minor Damage,Police,20,1,1,7480,680,680,6120,N
123,28,100/300,2000,1836.02,0,MALE,Graduate,own-child,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,5,1,1,79800,13300,6650,59850,Y
347,51,500/1000,500,1480.79,9000000,FEMALE,Graduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,15,1,2,103560,8630,17260,77670,N
163,38,500/1000,2000,1453.92,0,FEMALE,Doctorate,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,3,79500,15900,7950,55650,N
271,44,250/500,500,1340.71,0,FEMALE,High School,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,2,76230,6930,13860,55440,Y
410,54,100/300,2000,714.03,0,MALE,Graduate,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,0,1,2,59520,9920,9920,39680,N
448,57,100/300,2000,1376.16,0,FEMALE,Doctorate,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Police,10,3,1,47760,5970,5970,35820,Y
218,41,100/300,500,914.22,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,3,0,84590,15380,7690,61520,N
43,38,500/1000,1000,1601.47,0,MALE,Doctorate,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,1,3,2,61650,6850,6850,47950,N
33,33,500/1000,1000,1096.79,6000000,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Major Damage,Police,16,1,1,81400,8140,8140,65120,N
126,34,100/300,2000,1078.22,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Fire,2,3,1,58410,10620,5310,42480,N
411,56,250/500,1000,1595.28,0,FEMALE,Undergraduate,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,0,38610,3510,3510,31590,N
225,37,100/300,1000,1217.84,5000000,FEMALE,High School,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,2,57600,9600,9600,38400,N
35,35,100/300,2000,1117.42,0,FEMALE,Doctorate,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,23,3,2,53190,5910,11820,35460,N
460,57,100/300,2000,1567.37,0,FEMALE,Graduate,partner,Single Vehicle Collision,Front Collision,Major Damage,Police,10,1,3,58300,5830,11660,40810,Y
195,38,500/1000,2000,1294.93,6000000,MALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,12,3,2,64620,7180,0,57440,N
360,51,250/500,1000,1152.12,0,MALE,Doctorate,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,15,3,0,90480,15080,15080,60320,N
300,49,100/300,1000,1441.21,0,FEMALE,Doctorate,partner,Vehicle Theft,No Collision,Trivial Damage,None,3,1,0,7080,1180,1180,4720,N
245,42,500/1000,1000,1575.74,7000000,MALE,Graduate,other-relative,Parked Car,No Collision,Minor Damage,Police,19,1,2,6490,590,1180,4720,Y
146,36,500/1000,2000,1233.96,0,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,1,55900,5590,5590,44720,N
67,29,250/500,1000,1861.43,0,MALE,High School,partner,Single Vehicle Collision,Rear Collision,Major Damage,Police,16,1,3,63800,6380,6380,51040,Y
380,56,100/300,1000,1570.86,0,MALE,Graduate,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Police,10,1,1,58160,7270,7270,43620,Y
389,53,500/1000,2000,791.47,0,MALE,Graduate,partner,Vehicle Theft,No Collision,Minor Damage,Police,6,1,2,6300,630,1260,4410,Y
317,46,250/500,1000,1012.78,0,MALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,18,1,1,104610,19020,19020,66570,Y
264,44,100/300,500,1047.06,6000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,20,3,2,69850,12700,6350,50800,N
20,21,250/500,1000,1390.29,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,0,62900,12580,6290,44030,N
116,30,500/1000,500,951.46,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Police,8,3,3,59670,6630,6630,46410,Y
222,40,100/300,1000,1226.78,0,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,17,2,0,81500,16300,8150,57050,N
439,56,100/300,500,1280.9,0,MALE,High School,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,1,0,50000,15000,5000,30000,N
66,28,100/300,2000,1472.77,0,MALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,0,1,1,48290,8780,8780,30730,N
128,29,500/1000,1000,1878.44,0,MALE,High School,partner,Single Vehicle Collision,Rear Collision,Total Loss,Fire,2,1,0,59070,5370,5370,48330,N
69,24,500/1000,500,1418.5,0,FEMALE,High School,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,0,63300,12660,6330,44310,N
294,46,100/300,500,1532.8,0,MALE,Undergraduate,own-child,Single Vehicle Collision,Side Collision,Total Loss,Police,8,1,3,65780,11960,11960,41860,N
19,29,250/500,500,1304.35,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,3,2,75400,11600,11600,52200,Y
191,33,500/1000,2000,1551.61,0,MALE,High School,partner,Vehicle Theft,No Collision,Minor Damage,None,3,1,1,2250,250,250,1750,N
4,39,100/300,1000,1326.98,6000000,FEMALE,High School,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,14,3,3,54120,4510,9020,40590,N
298,49,250/500,500,862.92,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,16,3,2,69480,11580,11580,46320,N
231,43,100/300,2000,1331.69,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,12,1,2,66950,10300,10300,46350,N
338,47,250/500,2000,1486.04,0,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,1,3,3,64100,12820,6410,44870,Y
261,46,100/300,1000,870.55,0,MALE,Doctorate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,19,1,3,80280,13380,13380,53520,N
321,44,500/1000,2000,1344.56,6000000,MALE,Undergraduate,partner,Vehicle Theft,No Collision,Trivial Damage,Police,7,1,2,4680,520,0,4160,N
0,32,500/1000,1000,1377.04,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,6,4,1,39720,6620,6620,26480,N
405,58,250/500,500,1237.88,0,MALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Police,11,1,0,63580,5780,5780,52020,Y
304,49,100/300,1000,1525.86,0,FEMALE,Doctorate,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,2,1,1,73370,13340,6670,53360,N
1,29,500/1000,500,854.58,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Police,15,1,3,86790,7890,23670,55230,N
26,39,250/500,1000,770.76,0,MALE,Graduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Police,0,1,2,49800,9960,4980,34860,N
202,38,100/300,2000,1132.74,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Police,12,1,1,77440,7040,14080,56320,N
289,48,500/1000,500,1173.37,8000000,FEMALE,Doctorate,own-child,Single Vehicle Collision,Front Collision,Total Loss,Police,1,1,0,42900,8580,0,34320,N
61,26,100/300,2000,1188.28,6000000,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,2,0,53820,11960,5980,35880,Y
334,46,100/300,1000,876.88,6000000,MALE,Graduate,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,1,1,57330,12740,6370,38220,N
12,24,500/1000,1000,1143.95,0,FEMALE,Doctorate,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,13,3,1,53370,5930,5930,41510,N
86,29,100/300,2000,1409.06,0,MALE,High School,partner,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,1,2,62920,9680,14520,38720,N
83,24,500/1000,1000,1070.63,0,FEMALE,High School,partner,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,1,61600,6160,12320,43120,N
126,30,500/1000,2000,916.13,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Police,16,3,0,74160,6180,12360,55620,N
209,38,250/500,500,1191.5,0,MALE,High School,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,1,0,80100,8900,8900,62300,N
283,48,500/1000,1000,1474.66,0,FEMALE,Graduate,partner,Parked Car,No Collision,Trivial Damage,Police,9,1,3,6560,820,820,4920,N
194,34,250/500,1000,1193.45,0,MALE,Graduate,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,1,58800,11760,5880,41160,N
184,38,250/500,1000,1437.53,0,FEMALE,Undergraduate,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,2,53730,11940,5970,35820,Y
479,60,100/300,2000,1304.83,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,18,1,0,60600,5050,10100,45450,N
284,48,250/500,1000,1168.8,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Police,11,1,3,35750,6500,3250,26000,N
65,27,100/300,1000,1164.97,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,17,1,2,42840,3570,7140,32130,N
